09:56:55.835 [INFO ] [magicValues     ] 마법 값 탐지 시작  {"projectRoot":"D:\\myRoom"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1000","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.848 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"default","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.848 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"default","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.848 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.848 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.848 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/room/AnimatedWrapper.tsx","collected":15,"isInTestFile":false}
09:56:55.850 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"6","file":"src/components/room/constants.ts"}
09:56:55.850 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/constants.ts"}
09:56:55.850 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/constants.ts"}
09:56:55.850 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/constants.ts"}
09:56:55.851 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/constants.ts"}
09:56:55.851 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.0","file":"src/components/room/constants.ts"}
09:56:55.851 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/room/constants.ts","collected":59,"isInTestFile":false}
09:56:55.853 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"24","file":"src/components/room/layout.ts"}
09:56:55.853 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"10","file":"src/components/room/layout.ts"}
09:56:55.853 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"10","file":"src/components/room/layout.ts"}
09:56:55.853 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.853 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.853 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"4","file":"src/components/room/layout.ts"}
09:56:55.853 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2.0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"15","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.854 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2.00","file":"src/components/room/layout.ts"}
09:56:55.855 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0.00","file":"src/components/room/layout.ts"}
09:56:55.855 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0.00","file":"src/components/room/layout.ts"}
09:56:55.855 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0.00","file":"src/components/room/layout.ts"}
09:56:55.856 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0.00","file":"src/components/room/layout.ts"}
09:56:55.856 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.857 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"5.0","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0.0","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.858 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.859 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/layout.ts"}
09:56:55.860 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"16","file":"src/components/room/layout.ts"}
09:56:55.860 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"6","file":"src/components/room/layout.ts"}
09:56:55.861 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/room/layout.ts","collected":264,"isInTestFile":false}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.863 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.00","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/materials.ts"}
09:56:55.864 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/room/materials.ts","collected":31,"isInTestFile":false}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"undefined","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"4","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"4","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"64","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"128","file":"src/components/room/Performance.ts"}
09:56:55.865 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/room/Performance.ts","collected":5,"isInTestFile":false}
09:56:55.866 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"4","file":"src/components/room/portfolioData.ts"}
09:56:55.866 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"3","file":"src/components/room/portfolioData.ts"}
09:56:55.866 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"4","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"3","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"4","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"3","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"4","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"3","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"","file":"src/components/room/portfolioData.ts"}
09:56:55.867 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/room/portfolioData.ts","collected":33,"isInTestFile":false}
09:56:55.868 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/room/Room.tsx","collected":0,"isInTestFile":false}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.871 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.872 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.872 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.872 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/NavigationGuide.tsx"}
09:56:55.872 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/ui/NavigationGuide.tsx","collected":58,"isInTestFile":false}
09:56:55.878 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.878 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.879 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.879 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"100","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"none","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.881 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"none","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"auto","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.882 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"none","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"block","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"none","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"none","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"flex","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"center","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/ui/PortfolioModal.tsx"}
09:56:55.883 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/ui/PortfolioModal.tsx","collected":72,"isInTestFile":false}
09:56:55.889 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.889 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.0","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2.0","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"2","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"6","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"8","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"9","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1.0","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.890 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.891 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.891 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.891 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.891 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/snowBackground/Bonfire.tsx"}
09:56:55.892 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/components/snowBackground/Bonfire.tsx","collected":61,"isInTestFile":false}
09:56:55.895 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"3.0","file":"src/components/snowBackground/ChristmasTree.tsx"}
09:56:55.895 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/snowBackground/ChristmasTree.tsx"}
09:56:55.895 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"5","file":"src/components/snowBackground/ChristmasTree.tsx"}
09:56:55.895 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/snowBackground/ChristmasTree.tsx"}
